3.50 11.0 -11.4317
3.75 11.0 -11.8340
4.00 11.0 -12.1530
4.25 11.0 -12.4165
4.50 11.0 -12.6473
4.75 11.0 -12.8618
5.00 11.0 -13.0700
3.00 11.5 -10.0525
3.25 11.5 -10.7392
3.50 11.5 -11.3140
3.75 11.5 -11.7756
4.00 11.5 -12.1353
4.25 11.5 -12.4246
4.50 11.5 -12.6703
4.75 11.5 -12.8918
5.00 11.5 -13.1015
3.00 12.0 -9.6799
3.25 12.0 -10.4780
3.50 12.0 -11.1440
3.75 12.0 -11.6766
4.00 12.0 -12.0879
4.25 12.0 -12.4126
4.50 12.0 -12.6808
4.75 12.0 -12.9155
5.00 12.0 -13.1317
3.00 12.5 -9.2318
3.25 12.5 -10.1529
3.50 12.5 -10.9217
3.75 12.5 -11.5370
4.00 12.5 -12.0110
4.25 12.5 -12.3803
4.50 12.5 -12.6787
4.75 12.5 -12.9329
5.00 12.5 -13.1606
3.00 13.0 -8.7082
3.25 13.0 -9.7639
3.50 13.0 -10.6472
3.75 13.0 -11.3567
4.00 13.0 -11.9045
4.25 13.0 -12.3278
4.50 13.0 -12.6641
4.75 13.0 -12.9441
5.00 13.0 -13.1883
