3.00 9.0 -11.9344
3.25 9.0 -12.2778
3.50 9.0 -12.5696
3.75 9.0 -12.8144
4.00 9.0 -13.0357
4.25 9.0 -13.2462
4.50 9.0 -13.4551
4.75 9.0 -13.6647
5.00 9.0 -13.8749
2.50 9.5 -10.8741
2.75 9.5 -11.3880
3.00 9.5 -11.8389
3.25 9.5 -12.2270
3.50 9.5 -12.5513
3.75 9.5 -12.8168
4.00 9.5 -13.0505
4.25 9.5 -13.2669
4.50 9.5 -13.4773
4.75 9.5 -13.6842
5.00 9.5 -13.8876
2.50 10.0 -10.6218
2.75 10.0 -11.2167
3.00 10.0 -11.7347
3.25 10.0 -12.1758
3.50 10.0 -12.5390
3.75 10.0 -12.8297
4.00 10.0 -13.0783
4.25 10.0 -13.3017
4.50 10.0 -13.5133
4.75 10.0 -13.7162
5.00 10.0 -13.9102
