#########################################
#     NEBULAR output spectrum
#########################################
#
# Electron temperature [K]      : 10000
# Electron density [cm-3]       : 100
# Helium abundance              : 0.1
# Ionisation fraction (H+)      : 1
# Ionisation fraction (He+)     : 1
# Ionisation fraction (He++)    : 9.25655e-09
# H+ density [cm-3]             : 90
# He+ density [cm-3]            : 10
# He++ density [cm-3]           : 9.25655e-08
# Total nuclear density [cm-3]  : 100
# Total matter density [g cm-3] : 2.17083e-22
#
# Col 1:  Frequency [Hz]
# Col 2:  Wavelength [A]
# Col 3:  Total spectrum: f_lambda (erg s-1 cm-2 A-1)
# Col 4:  j_fb (free-bound HI)
# Col 5:  j_fb (free-bound HeI)
# Col 6:  j_fb (free-bound HeII)
# Col 7:  j_2q (two-photon HI)
# Col 8:  j_2q (two-photon HeI)
# Col 9:  j_2q (two-photon HeII)
# Col 10:  j_ff (free-free HII)
# Col 11: j_ff (free-free HeII)
# Col 12: j_ff (free-free HeIII)
# Col 13: j_nn' (HI   recombination lines)
# Col 14: j_nn' (HeI  recombination lines)
# Col 15: j_nn' (HeII recombination lines)
#
# nu lambda f_lambda fb_HI fb_HeI fb_HeII 2q_HI 2q_HeI 2q_HeII ff_HII ff_HeII ff_HeIII eml_HI eml_HeI eml_HeII
5.62462e+15 533 3.30054e-22 0 2.12899e-23 4.35828e-26 0 0 3.086e-22 1.08496e-25 1.20552e-26 4.43507e-34 0 0 0
5.61409e+15 534 3.29396e-22 0 2.22736e-23 4.56618e-26 0 0 3.0695e-22 1.137e-25 1.26334e-26 4.64749e-34 0 0 0
5.6036e+15 535 3.28791e-22 0 2.32986e-23 4.78313e-26 0 0 3.05312e-22 1.19132e-25 1.32369e-26 4.86919e-34 0 0 0
5.59314e+15 536 3.28239e-22 0 2.43665e-23 5.00948e-26 0 0 3.03683e-22 1.24801e-25 1.38668e-26 5.10055e-34 0 0 0
5.58273e+15 537 3.27742e-22 0 2.54788e-23 5.2456e-26 0 0 3.02065e-22 1.30716e-25 1.4524e-26 5.34195e-34 0 0 0
5.57235e+15 538 3.27302e-22 0 2.66372e-23 5.49188e-26 0 0 3.00457e-22 1.36887e-25 1.52096e-26 5.59377e-34 0 0 0
5.56201e+15 539 3.2692e-22 0 2.78434e-23 5.7487e-26 0 0 2.9886e-22 1.43323e-25 1.59248e-26 5.85641e-34 0 0 0
5.55171e+15 540 3.26598e-22 0 2.90992e-23 6.01647e-26 0 0 2.97272e-22 1.50036e-25 1.66707e-26 6.13031e-34 0 0 0
5.54145e+15 541 3.26338e-22 0 3.04063e-23 6.29561e-26 0 0 2.95695e-22 1.57035e-25 1.74484e-26 6.41588e-34 0 0 0
5.53123e+15 542 3.26142e-22 0 3.17668e-23 6.58655e-26 0 0 2.94127e-22 1.64332e-25 1.82592e-26 6.71359e-34 0 0 0
5.52104e+15 543 3.26012e-22 0 3.31824e-23 6.88974e-26 0 0 2.92569e-22 1.71939e-25 1.91043e-26 7.02389e-34 0 0 0
5.51089e+15 544 3.25949e-22 0 3.46552e-23 7.20565e-26 0 0 2.91021e-22 1.79866e-25 1.99851e-26 7.34725e-34 0 0 0
5.50078e+15 545 3.25955e-22 0 3.61874e-23 7.53475e-26 0 0 2.89483e-22 1.88126e-25 2.09029e-26 7.68419e-34 0 0 0
5.4907e+15 546 3.26033e-22 0 3.77809e-23 7.87755e-26 0 0 2.87955e-22 1.96732e-25 2.18591e-26 8.0352e-34 0 0 0
5.48067e+15 547 3.26185e-22 0 3.9438e-23 8.23454e-26 0 0 2.86436e-22 2.05696e-25 2.28552e-26 8.40082e-34 0 0 0
5.47067e+15 548 3.26413e-22 0 4.1161e-23 8.60626e-26 0 0 2.84927e-22 2.15033e-25 2.38926e-26 8.78158e-34 0 0 0
5.4607e+15 549 3.2672e-22 0 4.29521e-23 8.99325e-26 0 0 2.83428e-22 2.24756e-25 2.49728e-26 9.17807e-34 0 0 0
5.45077e+15 550 3.27107e-22 0 4.48139e-23 9.39608e-26 0 0 2.81938e-22 2.34878e-25 2.60976e-26 9.59084e-34 0 0 0
5.44088e+15 551 3.27577e-22 0 4.67487e-23 9.81533e-26 0 0 2.80457e-22 2.45416e-25 2.72685e-26 1.00205e-33 0 0 0
5.43102e+15 552 3.28132e-22 0 4.87591e-23 1.02516e-25 0 0 2.78986e-22 2.56384e-25 2.84871e-26 1.04677e-33 0 0 0
5.4212e+15 553 3.28776e-22 0 5.08478e-23 1.07055e-25 0 0 2.77524e-22 2.67798e-25 2.97554e-26 1.09331e-33 0 0 0
5.41142e+15 554 3.29511e-22 0 5.30175e-23 1.11777e-25 0 0 2.76071e-22 2.79675e-25 3.1075e-26 1.14172e-33 0 0 0
5.40167e+15 555 3.30339e-22 0 5.52709e-23 1.16688e-25 0 0 2.74627e-22 2.92031e-25 3.24479e-26 1.19209e-33 0 0 0
5.39195e+15 556 3.31264e-22 0 5.7611e-23 1.21795e-25 0 0 2.73193e-22 3.04883e-25 3.38759e-26 1.24448e-33 0 0 0
5.38227e+15 557 3.32288e-22 0 6.00407e-23 1.27105e-25 0 0 2.71767e-22 3.18249e-25 3.5361e-26 1.29896e-33 0 0 0
5.37262e+15 558 3.33415e-22 0 6.2563e-23 1.32626e-25 0 0 2.7035e-22 3.32148e-25 3.69054e-26 1.35561e-33 0 0 0
5.36301e+15 559 3.34647e-22 0 6.51811e-23 1.38365e-25 0 0 2.68943e-22 3.46599e-25 3.8511e-26 1.41451e-33 0 0 0
5.35344e+15 560 3.35988e-22 0 6.78982e-23 1.44315e-25 0 0 2.67544e-22 3.61622e-25 4.01802e-26 1.47573e-33 0 0 0
5.34389e+15 561 3.37441e-22 0 7.07177e-23 1.50495e-25 0 0 2.66154e-22 3.77236e-25 4.19151e-26 1.53935e-33 0 0 0
5.33439e+15 562 3.3901e-22 0 7.3643e-23 1.56917e-25 0 0 2.64773e-22 3.93462e-25 4.3718e-26 1.60547e-33 0 0 0
5.32491e+15 563 3.40697e-22 0 7.66776e-23 1.63587e-25 0 0 2.634e-22 4.10323e-25 4.55914e-26 1.67417e-33 0 0 0
5.31547e+15 564 3.42507e-22 0 7.9825e-23 1.70514e-25 0 0 2.62036e-22 4.27839e-25 4.75377e-26 1.74554e-33 0 0 0
5.30606e+15 565 3.44443e-22 0 8.30892e-23 1.77707e-25 0 0 2.6068e-22 4.46035e-25 4.95594e-26 1.81967e-33 0 0 0
5.29669e+15 566 3.46509e-22 0 8.64738e-23 1.85175e-25 0 0 2.59333e-22 4.64933e-25 5.16592e-26 1.89665e-33 0 0 0
5.28734e+15 567 3.48709e-22 0 8.99828e-23 1.92929e-25 0 0 2.57995e-22 4.84557e-25 5.38397e-26 1.9766e-33 0 0 0
5.27804e+15 568 3.51047e-22 0 9.36204e-23 2.00976e-25 0 0 2.56665e-22 5.04934e-25 5.61038e-26 2.0596e-33 0 0 0
5.26876e+15 569 3.53527e-22 0 9.73905e-23 2.09328e-25 0 0 2.55343e-22 5.26088e-25 5.84542e-26 2.14576e-33 0 0 0
5.25952e+15 570 3.56154e-22 0 1.01298e-22 2.17994e-25 0 0 2.54029e-22 5.48045e-25 6.08939e-26 2.23519e-33 0 0 0
5.25031e+15 571 3.58931e-22 0 1.05346e-22 2.26985e-25 0 0 2.52724e-22 5.70834e-25 6.3426e-26 2.328e-33 0 0 0
5.24113e+15 572 3.61864e-22 0 1.0954e-22 2.36313e-25 0 0 2.51427e-22 5.94482e-25 6.60536e-26 2.4243e-33 0 0 0
